CODIGO_CLIENTE,MATRICULA,DATA_VENDA,NUMERO_NOTA
7771579779,00235,2015-01-01,100
50534475787,00237,2015-01-01,101
8502682733,00236,2015-01-01,102
5840119709,00235,2015-01-01,103
1471156710,00235,2015-01-01,104
94387575700,00236,2015-01-01,105
3623344710,00237,2015-01-01,106
5576228758,00236,2015-01-01,107
19290992743,00237,2015-01-01,108
94387575700,00236,2015-01-01,109
5840119709,00235,2015-01-01,110
492472718,00237,2015-01-01,111
5840119709,00236,2015-01-01,112
50534475787,00235,2015-01-01,113
94387575700,00235,2015-01-01,114
94387575700,00236,2015-01-01,115
50534475787,00235,2015-01-01,116
8719655770,00236,2015-01-01,117
2600586709,00235,2015-01-01,118
3623344710,00236,2015-01-01,119
3623344710,00235,2015-01-01,120
3623344710,00235,2015-01-01,121
5648641702,00237,2015-01-01,122
50534475787,00237,2015-01-01,123
94387575700,00235,2015-01-01,124
5840119709,00237,2015-01-01,125
7771579779,00237,2015-01-01,126
8502682733,00236,2015-01-01,127
5648641702,00237,2015-01-01,128
5840119709,00237,2015-01-01,129
5576228758,00236,2015-01-01,130
5840119709,00236,2015-01-01,131
5576228758,00236,2015-01-01,132
5576228758,00235,2015-01-01,133
1471156710,00235,2015-01-01,134
5648641702,00235,2015-01-01,135
50534475787,00236,2015-01-01,136
19290992743,00237,2015-01-01,137
5648641702,00235,2015-01-01,138
50534475787,00236,2015-01-01,139
2600586709,00237,2015-01-01,140
8502682733,00237,2015-01-01,141
3623344710,00236,2015-01-01,142
8719655770,00236,2015-01-01,143
50534475787,00236,2015-01-01,144
19290992743,00235,2015-01-01,145
5648641702,00236,2015-01-01,146
492472718,00236,2015-01-01,147
492472718,00236,2015-01-01,148
94387575700,00235,2015-01-01,149
9283760794,00236,2015-01-01,150
8719655770,00235,2015-01-01,151
19290992743,00237,2015-01-01,152
5576228758,00237,2015-01-01,153
50534475787,00237,2015-01-01,154
8502682733,00237,2015-01-01,155
2600586709,00237,2015-01-01,156
94387575700,00235,2015-01-01,157
5840119709,00236,2015-01-01,158
7771579779,00237,2015-01-01,159
2600586709,00236,2015-01-01,160
5576228758,00235,2015-01-01,161
5840119709,00235,2015-01-01,162
7771579779,00235,2015-01-01,163
8502682733,00235,2015-01-01,164
1471156710,00235,2015-01-01,165
8502682733,00237,2015-01-01,166
5576228758,00235,2015-01-01,167
5576228758,00235,2015-01-01,168
5840119709,00237,2015-01-01,169
5840119709,00237,2015-01-01,170
19290992743,00237,2015-01-02,171
9283760794,00235,2015-01-02,172
7771579779,00237,2015-01-02,173
5576228758,00235,2015-01-02,174
9283760794,00237,2015-01-02,175
7771579779,00236,2015-01-02,176
1471156710,00236,2015-01-02,177
3623344710,00237,2015-01-02,178
1471156710,00236,2015-01-02,179
1471156710,00237,2015-01-02,180
94387575700,00235,2015-01-02,181
5840119709,00235,2015-01-02,182
8719655770,00237,2015-01-02,183
9283760794,00235,2015-01-02,184
19290992743,00235,2015-01-02,185
5576228758,00236,2015-01-02,186
8719655770,00236,2015-01-02,187
7771579779,00237,2015-01-02,188
8719655770,00236,2015-01-02,189
5648641702,00237,2015-01-02,190
50534475787,00236,2015-01-02,191
3623344710,00237,2015-01-02,192
8502682733,00237,2015-01-02,193
8719655770,00237,2015-01-02,194
9283760794,00236,2015-01-02,195
5840119709,00237,2015-01-02,196
